dataset,missingness,method,MinMAE,AvgMAE,PercentBias,CoverageRate,W_train,W_test,MeanVariance,MeanMAD,MedianMAD,R2_imp,F1_imp,time,R2_lin,F1_lin,R2_linboost,F1_linboost,R2_tree,F1_tree,R2_treeboost,F1_treeboost
glass,MCAR(0.2),KNN(n_neighbors=1),0.08389092473,0.08389092473,0,0,0.1421608633,0.6463414637,2.76E-34,7.58E-17,0,0,0.5617051702,0.004852612813,0,0.5588551903,0,0.2795428337,0,0.6881531977,0,0.7202694591
glass,MCAR(0.2),MissForest,0.05786449453,0.0681293218,0,0,0.1178588587,0.6348514968,3.31E-04,4.32E-02,3.92E-02,0,0.6214856094,31.28890649,0,0.5992620448,0,0.3775334466,0,0.7708262019,0,0.7383207443
glass,MCAR(0.2),miceforest,0.04558138189,0.07897432376,0,0,0.1350419459,0.6405579548,3.71E-03,1.69E-01,1.49E-01,0,5.70E-01,19.87213508,0,0.5819268389,0,0.2848701894,0,0.6991280194,0,0.7133130616
glass,MCAR(0.2),ice,0.1499586411,0.3219422453,0,0,0.552055502,0.9771445599,1.02E-01,1.29E+00,1.12289332,0,0.4880246307,1.16E+00,0,0.465609443,0,0.2797116828,0,0.5783013916,0,0.6284760055
glass,MCAR(0.2),OT,0.06441983809,0.09580227774,0,0,0.1659773544,0.6588950332,6.91E-03,1.73E-01,0.1568656552,0,0.5563447711,4.27E+02,0,0.5883340666,0,0.3123057449,0,0.6743288515,0,0.6504104215
glass,MCAR(0.2),softimpute,0.1851621878,0.1851621878,0,0,0.3226758569,0.8053917167,9.89E-35,7.08E-17,0,0,0.5652310377,2.090054194,0,0.5679070661,0,0.3060471017,0,0.6903205418,0,0.6966494411
glass,MCAR(0.2),GAIN,0.088616812,0.09012284982,0,0,0.1568707889,0.6658967599,3.41E-06,6.46E-03,0.005978105253,0,0.5568191791,14.09122276,0,0.6051364696,0,0.1925388754,0,0.7089581874,0,0.7206431837
ecoli,MCAR(0.2),oracle,0,0,0,0,0,0.4013585467,4.84E-34,1.35E-16,0,0,0.7322560453,4.85E-06,0,0.8429672979,0,0.458974669,0,0.8269753021,0,0.8001069122
ecoli,MCAR(0.2),KNN(n_neighbors=1),0.1025427095,0.1025427095,0,0,0.1314005068,0.4166758545,4.91E-34,1.37E-16,0,0,0.7178671479,0.00683705012,0,0.8367923402,0,0.4915734522,0,0.7972436982,0,0.7458591011
ecoli,MCAR(0.2),MissForest,0.06418846223,0.07557486515,0,0,0.1026682873,0.4016833087,3.11E-04,4.88E-02,4.46E-02,0,0.6562859708,23.80286749,0,0.7373525684,0,0.4128748355,0,0.7580480383,0,0.7168684409
ecoli,MCAR(0.2),miceforest,0.05570296766,0.09712357884,0,0,0.1277304217,0.4131001501,0.004670181498,0.1973844737,1.79E-01,0,0.6557966992,26.09344975,0,0.7816496749,0,0.3766969947,0,0.7459351082,0,0.7189050189
ecoli,MCAR(0.2),ice,0.0664465176,0.149498039,0,0,0.195352047,0.4709680917,1.97E-02,5.17E-01,0.4753796315,0,0.6914167836,0.8986795743,0,0.8210652904,0,0.4303294068,0,0.7730925844,0,0.7411798529
ecoli,MCAR(0.2),OT,0.06279119824,0.0955946148,0,0,0.1270123667,0.4218336217,2.48E-03,1.53E-01,0.1399682557,0,6.75E-01,406.337968,0,0.7467218483,0,0.4217645839,0,0.7835264497,0,0.7490161675
ecoli,MCAR(0.2),softimpute,0.09854277163,0.09854277163,0,0,0.135317701,0.4257095742,1.47E-34,1.20E-16,0,0,0.6460630065,2.12E+00,0,0.7654576206,0,0.3967520396,0,0.7508172861,0,0.6712250795
ecoli,MCAR(0.2),GAIN,0.1169290658,0.1186205073,0,0,0.162015487,0.4460215126,4.06E-06,6.78E-03,0.006281046939,0,0.6650068323,1.21E+01,0,0.7615143842,0,0.3492701047,0,0.7858962439,0,0.7633465962
yeast,MCAR(0.2),oracle,0,0,0,0,0,0.3176505118,2.50E-34,1.34E-16,0,0,0.5159895897,5.01E-06,0,0.5386445957,0,0.4064941104,0,0.5586396039,0,0.5601800486
yeast,MCAR(0.2),KNN(n_neighbors=1),0.08345045286,0.08345045286,0,0,0.1189103557,0.3287315814,3.38E-34,1.38E-16,0,0,0.4521014693,0.06410423915,0,0.5275296746,0,0.3401716219,0,0.4722882028,0,0.4684163779
yeast,MCAR(0.2),MissForest,0.05268680763,0.06302593709,0,0,0.09864960725,0.3173504341,0.0002622154661,0.04661908841,0.04265532771,0,0.4617906403,39.85651374,0,0.5218199484,0,0.3282926926,0,0.4781483884,0,0.5189015319
yeast,MCAR(0.2),miceforest,0.03947276262,0.0754695151,0,0,0.1113651078,0.3203977748,0.003941956704,0.2001589472,0.182831737,0,0.4365429824,32.1274302,0,0.5354951786,0,0.2634246053,0,0.4673286132,0,0.4799235325
yeast,MCAR(0.2),ice,0.05128862241,0.1115143473,0,0,0.1619656998,0.3603148575,0.01040737819,3.85E-01,0.3546720305,0,0.4403767126,1.305329641,0,0.5406570389,0,0.2559434352,0,0.4532542827,0,0.5116520937
yeast,MCAR(0.2),OT,0.04386455181,0.07723244902,0,0,0.1155350576,0.3261186165,2.73E-03,0.1747936559,0.1582104666,0,0.4759965408,512.1384935,0,0.5451842677,0,0.3500905473,0,0.4768927293,0,0.5318186188
yeast,MCAR(0.2),softimpute,0.08109837916,0.08109837916,0,0,0.1294412542,0.3380590184,1.90E-34,1.28E-16,0,0,0.4604899716,7.477202257,0,0.5191246439,0,0.3524903273,0,0.496936717,0,0.473408198
yeast,MCAR(0.2),GAIN,0.07448639166,0.07604360635,0,0,0.1207251792,0.3286584511,3.80E-06,6.51E-03,0.006028369649,0,4.57E-01,13.75710233,0,0.5356761165,0,0.3317788476,0,0.4713821626,0,0.4874063391
libras,MCAR(0.2),oracle,0,0,0,0,0,8.906211955,6.48E-34,1.95E-16,0,0,0.588410903,5.48E-06,0,0.7145750546,0,0.07820754173,0,0.8112754159,0,0.7495855996
